City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,murzuq,25.9155,13.9184,25.63,40,100,4.12,LY,1728354599
110,baganga,7.5739,126.56,30.43,70,100,2.67,PH,1728354601
111,trapani,37.8333,12.6667,20.07,88,0,7.72,IT,1728354602
112,the pas,53.8251,-101.2541,8.01,71,100,3.09,CA,1728354603
113,madang,-5.2246,145.7966,30.8,63,99,4.9,PG,1728354604
114,taoudenni,22.6783,-3.9836,34.34,27,85,4.62,ML,1728354605
115,dumas,35.8656,-101.9732,20.08,40,0,3.6,US,1728354606
116,terespol,52.0755,23.6161,6.93,87,86,2.21,PL,1728354607
117,hulan ergi,47.2042,123.6333,17.95,21,59,3.26,CN,1728354609
118,lensk,60.7253,114.9278,2.63,39,67,3.32,RU,1728354610
119,san patricio,28.017,-97.5169,25.97,57,0,2.45,US,1728354611
120,semirom,31.4167,51.5667,7.23,43,0,0.23,IR,1728354612
121,vershino-darasunskiy,52.35,115.5167,10.07,32,75,1.77,RU,1728354613
122,jamestown,42.097,-79.2353,8.9,84,0,3.6,US,1728354614
123,hammerfest,70.6634,23.6821,-1.75,86,15,0.51,NO,1728354616
124,praia da vitoria,38.7333,-27.0667,24.14,83,75,13.11,PT,1728354617
125,east london,-33.0153,27.9116,17.6,78,100,7.33,ZA,1728354618
126,barika,35.389,5.3658,23.61,46,100,7.54,DZ,1728354619
127,ta`u,-14.2336,-169.5144,26.4,80,92,9.79,AS,1728354620
128,searcy,35.2506,-91.7363,12.92,82,0,0.0,US,1728354580
129,margaret river,-33.95,115.0667,18.5,68,25,4.08,AU,1728354623
130,fremont,37.5483,-121.9886,27.14,46,0,3.09,US,1728354624
131,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,37,75,2.0,RU,1728354625
132,noyabrsk,63.1994,75.4507,-1.08,70,39,7.48,RU,1728354626
133,nagqu,31.5,92.0,6.61,29,89,2.52,CN,1728354627
134,vadso,70.0744,29.7487,0.09,74,14,2.57,NO,1728354628
135,nemuro,43.3236,145.575,14.87,86,100,5.21,JP,1728354630
136,honiara,-9.4333,159.95,30.49,70,16,6.06,SB,1728354631
137,port saint john's,-31.6229,29.5448,17.95,84,100,4.65,ZA,1728354632
138,papatowai,-46.5619,169.4708,12.42,66,68,7.79,NZ,1728354633
139,merizo village,13.2658,144.6691,29.11,89,100,6.92,GU,1728354634
140,nar'yan-mar,67.6713,53.087,0.83,73,99,5.46,RU,1728354635
141,anadyr,64.75,177.4833,2.78,86,75,5.0,RU,1728354613
142,antsiranana,-12.2787,49.2917,22.24,76,34,5.05,MG,1728354638
143,nantucket,41.2835,-70.0995,16.06,77,75,10.04,US,1728354407
144,mount isa,-20.7333,139.5,36.87,9,9,6.69,AU,1728354640
145,najran,17.4924,44.1277,19.58,31,64,0.66,SA,1728354641
146,mbeya,-8.9,33.45,14.92,87,78,2.13,TZ,1728354642
147,quatre cocos,-20.2078,57.7625,21.06,83,83,4.88,MU,1728354643
148,kontagora,10.3999,5.4695,22.49,87,78,0.76,NG,1728354644
149,trevelin,-43.0858,-71.4639,8.1,63,0,1.55,AR,1728354646
150,port mathurin,-19.6833,63.4167,23.31,94,2,3.63,MU,1728354647
151,santana,-0.0583,-51.1817,29.1,79,20,5.14,BR,1728354648
152,susuman,62.7833,148.1667,-6.48,76,68,0.57,RU,1728354649
153,pisco,-13.7,-76.2167,17.03,88,0,5.14,PE,1728354650
154,tharangambadi,11.0319,79.8528,28.75,71,95,2.08,IN,1728354651
155,lander,42.833,-108.7307,17.45,22,0,4.63,US,1728354652
156,forster,-32.1667,152.5167,20.21,81,99,6.94,AU,1728354655
157,okeho,8.0333,3.35,21.08,97,75,1.05,NG,1728354656
158,keflavik,64.0049,-22.5624,2.24,64,75,2.57,IS,1728354657
159,coruripe,-10.1256,-36.1756,22.93,86,55,3.61,BR,1728354658
160,belyy yar,53.6039,91.3903,5.94,61,0,3.0,RU,1728354659
161,cabo san lucas,22.8909,-109.9124,27.09,83,20,4.92,MX,1728354457
162,talnakh,69.4865,88.3972,-3.8,96,100,1.31,RU,1728354662
163,minbu,20.1833,94.8833,29.76,71,70,1.6,MM,1728354663
164,avarua,-21.2078,-159.775,25.03,53,20,5.14,CK,1728354664
165,rongelap,11.1635,166.8941,28.72,75,13,3.21,MH,1728354665
166,mandalgovi,45.7625,106.2708,10.7,42,100,7.44,MN,1728354666
167,springfield,37.2153,-93.2982,11.96,63,0,0.0,US,1728354095
168,hadibu,12.65,54.0333,25.52,84,100,1.69,YE,1728354669
169,bodo,67.28,14.405,2.96,75,0,10.8,NO,1728354670
170,loango,-4.6719,11.8312,24.81,88,75,1.03,CG,1728354671
171,vorgashor,67.5833,63.95,-4.95,94,99,0.85,RU,1728354672
172,afif,23.9065,42.9172,22.79,27,0,4.9,SA,1728354673
173,lebaksiu,-7.0496,109.1441,33.29,49,60,1.04,ID,1728354674
174,warrensburg,38.7628,-93.7361,12.74,50,0,3.09,US,1728354676
175,tongging,2.8969,98.5262,19.12,81,100,0.98,ID,1728354677
176,flying fish cove,-10.4217,105.6791,26.82,83,100,6.69,CX,1728354678
177,porto novo,6.4965,2.6036,24.9,91,100,1.28,BJ,1728354679
178,palma di montechiaro,37.1926,13.765,19.63,78,88,2.89,IT,1728354680
179,nema,57.5067,50.5011,8.45,83,100,1.61,RU,1728354681
180,saint-philippe,-21.3585,55.7679,21.56,82,10,3.39,RE,1728354682
181,san juan del sur,11.2529,-85.8705,25.16,92,100,3.51,NI,1728354684
182,weno,7.4515,151.8468,31.97,74,75,3.09,FM,1728354686
183,moissala,8.3404,17.7663,20.67,97,70,1.43,TD,1728354687
184,kokopo,-4.352,152.2633,27.71,75,73,1.09,PG,1728354689
185,aasiaat,68.7098,-52.8699,-1.59,81,100,2.81,GL,1728354690
186,labasa,-16.4167,179.3833,28.24,56,16,5.04,FJ,1728354691
187,kapshagay,43.8833,77.0833,17.47,21,0,1.44,KZ,1728354693
188,kuna,43.4918,-116.4201,19.22,45,0,0.0,US,1728354517
189,revda,56.801,59.9303,11.32,61,100,6.31,RU,1728354695
190,eyl,7.9803,49.8164,25.56,81,78,5.47,SO,1728354696
191,port lincoln,-34.7333,135.8667,14.29,59,0,5.51,AU,1728354697
192,pangody,65.85,74.4859,-0.84,87,98,6.67,RU,1728354699
193,puerto armuelles,8.2833,-82.8667,25.05,89,79,0.45,PA,1728354424
194,kenai,60.5544,-151.2583,7.36,73,0,2.57,US,1728354701
195,dutsen wai,10.8501,8.199,20.16,90,100,1.38,NG,1728354702
196,mirnyy,62.5353,113.9611,-0.47,54,98,4.61,RU,1728354703
197,kiunga,-6.1219,141.2906,30.47,71,99,1.08,PG,1728354704
198,sydney mines,46.2367,-60.2177,10.23,86,100,3.09,CA,1728354705
199,sitka,57.0531,-135.33,8.94,81,100,3.09,US,1728354707
200,ugoofaaru,5.6667,73.0,27.13,82,62,6.83,MV,1728354708
201,klyuchi,52.2667,79.1667,6.87,44,100,3.16,RU,1728354709
202,djenne,13.9061,-4.5533,24.14,87,95,3.36,ML,1728354710
203,flin flon,54.7682,-101.865,7.13,72,100,2.56,CA,1728354711
204,ancud,-41.8697,-73.8203,7.32,89,0,1.48,CL,1728354712
205,porto velho,-8.7619,-63.9039,25.03,83,75,2.06,BR,1728354531
206,invercargill,-46.4,168.35,8.9,86,91,5.81,NZ,1728354715
207,palmdale,34.5794,-118.1165,28.79,17,10,4.05,US,1728354608
208,oliver,49.1831,-119.5524,17.95,39,2,1.54,CA,1728354717
209,tamiahua,21.2667,-97.45,24.56,82,65,2.75,MX,1728354718
210,volodarskiy,46.4013,48.5409,15.47,68,22,3.14,RU,1728354719
211,touros,-5.1989,-35.4608,24.79,76,29,4.8,BR,1728354720
212,thompson,55.7435,-97.8558,2.09,100,40,0.0,CA,1728354721
213,puerto deseado,-47.7503,-65.8938,8.51,66,0,6.25,AR,1728354723
214,krasnoarmeyskaya,45.3661,38.2117,14.68,83,1,2.45,RU,1728354724
215,margate,51.3813,1.3862,12.67,90,69,7.51,GB,1728354684
216,zaragoza,41.6561,-0.8773,16.93,59,0,6.69,ES,1728354727
217,arraial do cabo,-22.9661,-42.0278,21.37,72,48,6.38,BR,1728354728
218,haiku-pauwela,20.9219,-156.3051,25.96,66,40,11.62,US,1728354730
219,sakaiminato,35.55,133.2333,18.99,100,75,4.12,JP,1728354731
220,tsetserleg,47.475,101.4542,8.18,36,100,1.91,MN,1728354732
221,ntungamo,-0.8833,29.65,16.91,95,85,1.29,UG,1728354733
222,novospasskoye,53.1468,47.7514,12.77,60,71,2.96,RU,1728354734
223,west island,-12.1568,96.8225,27.99,78,75,6.69,CC,1728354735
224,sale,34.0389,-6.8166,20.38,100,75,1.54,MA,1728354518
225,champerico,14.3,-91.9167,27.16,83,89,5.62,GT,1728354738
226,richmond,37.5538,-77.4603,14.83,83,20,2.06,US,1728354376
227,zaozersk,69.4005,32.4476,0.49,81,27,1.97,RU,1728354740
228,chabahar,25.2919,60.643,27.01,74,3,1.1,IR,1728354741
229,lebu,-37.6167,-73.65,9.71,96,8,5.04,CL,1728354742
230,wanning,18.8003,110.3967,28.94,67,7,5.13,CN,1728354743
231,mejit,10.2753,170.8646,28.32,78,83,4.52,MH,1728354744
232,novyy turtkul',41.55,61.0167,15.98,27,0,4.15,UZ,1728354746
233,severo-yeniseyskiy,60.3725,93.0408,-0.33,83,95,4.95,RU,1728354747
234,dudinka,69.4058,86.1778,-6.62,90,100,5.4,RU,1728354748
235,nouadhibou,20.931,-17.0347,21.99,78,16,6.69,MR,1728354749
236,hermanus,-34.4187,19.2345,16.56,85,18,6.09,ZA,1728354750
237,los andes,-32.8337,-70.5983,14.25,99,100,1.98,CL,1728354751
238,nizhneangarsk,55.7833,109.55,2.94,96,100,1.33,RU,1728354734
239,kratie,12.4881,106.0188,29.44,73,100,4.37,KH,1728354754
240,kruisfontein,-34.0033,24.7314,15.1,79,100,7.73,ZA,1728354755
241,shanhecun,44.7,127.2,14.38,43,0,6.16,CN,1728354756
242,whangarei,-35.7317,174.3239,22.56,35,3,2.74,NZ,1728354757
243,hasaki,35.7333,140.8333,19.77,90,100,12.96,JP,1728354758
244,college,64.8569,-147.8028,1.57,74,75,0.0,US,1728354759
245,wotho,10.1657,166.0102,28.71,73,5,4.48,MH,1728354760
246,zavitinsk,50.1167,129.45,11.48,35,0,5.63,RU,1728354762
247,usinsk,65.9939,57.5281,-1.35,96,100,7.56,RU,1728354763
248,tolanaro,-25.0319,46.9987,18.04,94,0,1.03,MG,1728354764
249,copala,16.65,-98.9833,24.75,89,98,1.95,MX,1728354765
250,mawu,34.4307,104.9176,7.92,94,100,0.89,CN,1728354766
251,mitu,1.1983,-70.1733,23.06,96,100,0.87,CO,1728354767
252,bayanhongor,46.7167,100.1167,3.45,43,100,0.89,MN,1728354768
253,alexandria,31.2156,29.9553,23.32,68,0,1.22,EG,1728354384
254,opuwo,-18.0607,13.84,19.9,52,23,1.93,NA,1728354771
255,point pedro,9.8167,80.2333,26.52,87,100,3.54,LK,1728354772
256,batouri,4.4333,14.3667,19.34,99,100,1.13,CM,1728354773
257,lagos,6.5833,3.75,23.99,94,99,0.99,NG,1728354000
258,karasu,41.071,30.7854,16.49,88,0,1.91,TR,1728354775
259,maceio,-9.6658,-35.7353,22.69,94,20,1.54,BR,1728354498
260,linhares,-19.3911,-40.0722,19.43,85,6,0.17,BR,1728354779
261,mogocha,53.7333,119.7667,5.24,46,100,2.17,RU,1728354780
262,haslev,55.3235,11.9639,8.33,96,100,2.63,DK,1728354781
263,severo-zadonsk,54.0348,38.4017,12.87,92,100,3.76,RU,1728354782
264,port isabel,26.0734,-97.2086,25.65,78,0,4.63,US,1728354783
265,pindwara,24.8,73.0667,27.65,51,92,1.19,IN,1728354785
